City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Brisbane,40913,2019,12,11,2019-12-11 00:00:00 UTC,-27.48,153.04,34.4,23.1,26.5,0
Melbourne,86338,2019,12,11,2019-12-11 00:00:00 UTC,-37.83,144.98,18.1,13.4,21.8,0
Adelaide,23000,2019,12,10,2019-12-10 00:00:00 UTC,-34.92,138.6,26.5,13.9,31.7,0
Perth,9225,2019,12,10,2019-12-10 00:00:00 UTC,-31.96,115.79,36.3,13.8,31.7,0
Sydney,66214,2019,12,10,2019-12-10 00:00:00 UTC,-33.86,151.21,30.1,18.7,23.4,0
Brisbane,40913,2019,12,10,2019-12-10 00:00:00 UTC,-27.48,153.04,33.5,23.5,29.7,0
Melbourne,86338,2019,12,10,2019-12-10 00:00:00 UTC,-37.83,144.98,17.2,14.3,22.2,0
Adelaide,23000,2019,12,9,2019-12-09 00:00:00 UTC,-34.92,138.6,24.7,20.7,24.7,0
Perth,9225,2019,12,9,2019-12-09 00:00:00 UTC,-31.96,115.79,29.9,13,31.8,0
Sydney,66214,2019,12,9,2019-12-09 00:00:00 UTC,-33.86,151.21,26.4,20,23.5,0
Brisbane,40913,2019,12,9,2019-12-09 00:00:00 UTC,-27.48,153.04,31.7,22.5,22.2,0
Melbourne,86338,2019,12,9,2019-12-09 00:00:00 UTC,-37.83,144.98,38,16.3,28.6,0
Adelaide,23000,2019,12,8,2019-12-08 00:00:00 UTC,-34.92,138.6,38.9,14.8,31.4,0
Perth,9225,2019,12,8,2019-12-08 00:00:00 UTC,-31.96,115.79,25.1,16.2,29.8,0.4
Sydney,66214,2019,12,8,2019-12-08 00:00:00 UTC,-33.86,151.21,26.9,19.4,25.6,0
Brisbane,40913,2019,12,8,2019-12-08 00:00:00 UTC,-27.48,153.04,32.6,22.9,18.4,0
Melbourne,86338,2019,12,8,2019-12-08 00:00:00 UTC,-37.83,144.98,27.6,13.8,30.8,0
Adelaide,23000,2019,12,7,2019-12-07 00:00:00 UTC,-34.92,138.6,27,8.6,31.6,0
Perth,9225,2019,12,7,2019-12-07 00:00:00 UTC,-31.96,115.79,26.5,18.4,23.1,0
Sydney,66214,2019,12,7,2019-12-07 00:00:00 UTC,-33.86,151.21,26.1,17.6,25.8,0
Brisbane,40913,2019,12,7,2019-12-07 00:00:00 UTC,-27.48,153.04,38.1,22,30.5,0
Melbourne,86338,2019,12,7,2019-12-07 00:00:00 UTC,-37.83,144.98,21,11.2,30.3,0
Adelaide,23000,2019,12,6,2019-12-06 00:00:00 UTC,-34.92,138.6,21.9,10.7,31.2,0
Perth,9225,2019,12,6,2019-12-06 00:00:00 UTC,-31.96,115.79,38.9,24.6,27.1,0
Sydney,66214,2019,12,6,2019-12-06 00:00:00 UTC,-33.86,151.21,24.2,17.6,21.4,0
Brisbane,40913,2019,12,6,2019-12-06 00:00:00 UTC,-27.48,153.04,38.6,18.5,31.1,0
Melbourne,86338,2019,12,6,2019-12-06 00:00:00 UTC,-37.83,144.98,20.8,13.3,18.2,0
Adelaide,23000,2019,12,5,2019-12-05 00:00:00 UTC,-34.92,138.6,24,13.2,31.4,0
Perth,9225,2019,12,5,2019-12-05 00:00:00 UTC,-31.96,115.79,39.2,19.5,31.6,0
Sydney,66214,2019,12,5,2019-12-05 00:00:00 UTC,-33.86,151.21,34.6,15.9,27.9,0
Brisbane,40913,2019,12,5,2019-12-05 00:00:00 UTC,-27.48,153.04,37.7,18.7,31.1,0
Melbourne,86338,2019,12,5,2019-12-05 00:00:00 UTC,-37.83,144.98,23.9,12.3,20.4,0
Adelaide,23000,2019,12,4,2019-12-04 00:00:00 UTC,-34.92,138.6,23,14.2,29.5,0
Perth,9225,2019,12,4,2019-12-04 00:00:00 UTC,-31.96,115.79,37.6,19.4,31.5,0
Sydney,66214,2019,12,4,2019-12-04 00:00:00 UTC,-33.86,151.21,30.9,18.1,27.5,0
Brisbane,40913,2019,12,4,2019-12-04 00:00:00 UTC,-27.48,153.04,33.9,17.4,31.1,0
Melbourne,86338,2019,12,4,2019-12-04 00:00:00 UTC,-37.83,144.98,23,12.1,20.3,0
Adelaide,23000,2019,12,3,2019-12-03 00:00:00 UTC,-34.92,138.6,20.5,13,24.3,0.2
Perth,9225,2019,12,3,2019-12-03 00:00:00 UTC,-31.96,115.79,41.6,20.6,30.6,0
Sydney,66214,2019,12,3,2019-12-03 00:00:00 UTC,-33.86,151.21,28.7,14,29.4,0
Brisbane,40913,2019,12,3,2019-12-03 00:00:00 UTC,-27.48,153.04,35.2,20.3,30.8,0
Melbourne,86338,2019,12,3,2019-12-03 00:00:00 UTC,-37.83,144.98,22.2,11,19.2,0.4
Adelaide,23000,2019,12,2,2019-12-02 00:00:00 UTC,-34.92,138.6,19.7,11.6,23.4,6
Perth,9225,2019,12,2,2019-12-02 00:00:00 UTC,-31.96,115.79,35.6,19.3,31.3,0
Sydney,66214,2019,12,2,2019-12-02 00:00:00 UTC,-33.86,151.21,22.9,16.5,19.4,0
Brisbane,40913,2019,12,2,2019-12-02 00:00:00 UTC,-27.48,153.04,34.5,21.8,30.8,3
Melbourne,86338,2019,12,2,2019-12-02 00:00:00 UTC,-37.83,144.98,15.5,9.8,18.2,3.4
Adelaide,23000,2019,12,1,2019-12-01 00:00:00 UTC,-34.92,138.6,17.7,11.3,13,2.4
Perth,9225,2019,12,1,2019-12-01 00:00:00 UTC,-31.96,115.79,32.9,13.6,31.4,0
Sydney,66214,2019,12,1,2019-12-01 00:00:00 UTC,-33.86,151.21,24.3,17.1,21.7,0
Brisbane,40913,2019,12,1,2019-12-01 00:00:00 UTC,-27.48,153.04,31.4,22.9,22.3,3.6
Melbourne,86338,2019,12,1,2019-12-01 00:00:00 UTC,-37.83,144.98,16.8,12.2,9.8,0
Adelaide,23000,2019,11,30,2019-11-30 00:00:00 UTC,-34.92,138.6,19,9.3,26.7,1
Perth,9225,2019,11,30,2019-11-30 00:00:00 UTC,-31.96,115.79,29.6,13.1,31.3,0
Sydney,66214,2019,11,30,2019-11-30 00:00:00 UTC,-33.86,151.21,24.2,19.4,11.3,0
Brisbane,40913,2019,11,30,2019-11-30 00:00:00 UTC,-27.48,153.04,32.1,22.1,29.9,0
Melbourne,86338,2019,11,30,2019-11-30 00:00:00 UTC,-37.83,144.98,18.4,10.3,26.7,8
Adelaide,23000,2019,11,29,2019-11-29 00:00:00 UTC,-34.92,138.6,19,10.8,9.2,0
Perth,9225,2019,11,29,2019-11-29 00:00:00 UTC,-31.96,115.79,27.8,13,31.3,0
